Ticker,Description,Total Shares Outstanding,Shares Float,Relative Volume,Price,Volume,Market Capitalization,Change %,Post-market Volume,Pre-market Volume,Pre-market Gap %,Pre-market Change %,Pre-market Close,Technical Rating
GEVO,"Gevo, Inc.",237167000,229458360.999,0.779914,1.23,4615941,291714954,0,341216,20113,-1.62601626,-1.62601626,1.21,Neutral
ORGO,Organogenesis Holdings Inc.,131227000,67173526.576,1.7895285,2.22,1312816,291323523.87906986,3.25581395,35211,,,,,Buy
HRTX,"Heron Therapeutics, Inc.",119259000,117987699.06,0.46398078,2.44,673517,290992737,0,42101,700,-0.81967213,-1.2295082,2.41,Buy
JMIA,Jumia Technologies AG,99877061,99524594.851731,0.55524403,2.87,878486,290642256,-1.37457045,32332,11080,-0.34364261,-0.68728522,2.89,Neutral
AMRS,"Amyris, Inc.",366252000,244750462.764,1.38709838,0.79,7785370,289338778.60092926,1.96179659,468581,43377,0,3.61383583,0.8028,Sell
ACET,"Adicet Bio, Inc.",42955000,27864006.445,1.43990354,6.73,371390,289086976.1921922,1.05105105,16292,,,,,Buy
GCI,"Gannett Co., Inc.",149007000,142506867.639,0.81906362,1.94,796503,289073295.4010152,-1.52284264,68102,,,,,Buy
UONE,"Urban One, Inc.",48379739,8760790.81064,0.39530114,7.27,29993,288135992.2330623,-1.49051491,475,,,,,Neutral
TWOU,"2U, Inc.",80419400,75720735.7162,0.60586353,3.58,1078853,287901547.27419347,-3.76344086,99380,1743,-0.53763441,-0.80645161,3.69,Sell
PHVS,Pharvaris N.V.,33816500,13608097.765,16.05069043,8.5001,54399,287443295.6849244,-8.2062635,,,,,,Strong Sell
CGNT,Cognyte Software Ltd.,68842600,68761228.0468,0.66564761,4.17,105252,287073645.8790698,-3.02325581,14126,,,,,Buy
INZY,"Inozyme Pharma, Inc.",43765500,26724877.389,6.09849101,6.55,1770470,286663919.84949833,9.53177258,10242,490,-0.50167224,-0.50167224,5.95,Strong Buy
LVOX,"LiveVox Holdings, Inc.",100354000,12729503.484,1.89174048,2.85,85431,286007488,0,3163,,,,,Buy
NIU,Niu Technologies,68859771,68845310.44809,0.67122129,3.6,172346,285383893,-2.7027027,2929,,,,,Sell
VUZI,Vuzix Corporation,63207700,58582160.514,2.88420857,4.51,2055360,285066614.8054187,11.08374384,48054,2165,0,0,4.06,Buy
GLUE,"Monte Rosa Therapeutics, Inc.",49372800,39769889.1456,0.56417496,5.75,196904,283893673.06629837,5.893186,17919,,,,,Neutral
KPTI,Karyopharm Therapeutics Inc.,114010000,102663724.8,0.92849128,2.49,3226014,283886007.55200005,-0.4,316472,4375,0.4,-2.4,2.44,Sell
QUOT,Quotient Technology Inc.,97675500,87822581.61299999,1.31887924,2.9,289609,283259001.00000006,0,17440,,,,,Neutral
CMAX,"CareMax, Inc.",111374000,77645720.588,0.72743454,2.54,282899,282889316.83571434,-9.28571429,22050,395,-4.28571429,-4.28571429,2.68,Sell
FTCI,"FTC Solar, Inc.",106195000,36928036.91000001,1.89419602,2.65,1323628,281417973.61742425,0.37878788,90540,2260,1.51515152,1.89393939,2.69,Buy
PANL,Pangaea Logistics Solutions Ltd.,46475800,26564544.8124,0.92612529,6.05,134284,281178514.375,-0.49342105,18029,,,,,Neutral
DSP,Viant Technology Inc.,14647800,13089947.8788,1.688927,4.55,69334,280871759.8484849,6.06060606,3166,,,,,Strong Buy
NL,"NL Industries, Inc.",48815700,8293933.8771,1.12263086,5.75,25067,280690485.899654,-0.51903114,1550,,,,,Sell
HLLY,Holley Inc.,118242000,47266648.29,1.15779098,2.37,407711,280232961.64197534,-2.4691358,23607,,,,,Buy
TPC,Tutor Perini Corporation,51521300,41758580.3843,0.77382443,5.42,369616,279245628.3180987,-0.91407678,61993,,,,,Sell
DC,Dakota Gold Corp.,73341001,53824887.292899,0.89686731,3.69,179254,277830909.1884817,-3.40314136,3248,,,,,Buy
PRTH,"Priority Technology Holdings, Inc.",78890700,14332625.7039,0.66039083,3.52,13869,277695436.1530055,-3.82513661,865,,,,,Sell
ANNX,"Annexon, Inc.",50493300,31398248.739,1.53952531,5.49,529575,277207973.3485714,4.57142857,12699,,,,,Buy
SKYX,SKYX Platforms Corp.,83119900,45462844.9045,1.30899227,3.33,186603,276789126.18857145,-4.85714286,3860,,,,,Strong Sell
AVIR,"Atea Pharmaceuticals, Inc.",83399400,72401270.92379999,1.28167403,3.31,691407,276051941.95882356,-2.64705882,40458,268,-0.58823529,-5,3.23,Sell
AMPY,Amplify Energy Corp.,38971400,38143725.4068,0.66600738,7.06,345888,275138246.5323741,1.58273381,22068,1195,0.14388489,-0.57553957,6.91,Neutral
JFIN,Jiayin Group Inc.,26431851,,2.14220435,5.64,239790,274105402,9.94152047,1246,800,1.94931774,-0.58479532,5.1,Strong Buy
KODK,Eastman Kodak Company,79340400,62198668.5588,1.60474985,3.45,531929,273724522.8994083,2.07100592,35175,100,-5.0295858,-5.0295858,3.21,Buy
VRCA,Verrica Pharmaceuticals Inc.,41852100,25121555.6166,0.90178367,6.54,134696,273712432.68580055,-1.20845921,3250,,,,,Buy
TG,Tredegar Corporation,34016700,25088302.7343,1.5825062,8.01,232586,272473673.76720905,0.25031289,12207,1288,3.12891114,1.50187735,8.11,Sell
DXLG,"Destination XL Group, Inc.",62619900,59428602.0363,0.4400617,4.35,216390,272396602.1460674,-2.24719101,18474,,,,,Sell
PRPL,"Purple Innovation, Inc.",104878000,101292430.936,1.91767497,2.58,1381238,271741981.7056856,-13.71237458,71010,22193,0,-4.34782609,2.86,Strong Sell
VOR,Vor Biopharma Inc.,66373800,54233102.7468,0.97575844,4.09,88513,271468748.14734304,-1.20772947,1817,100,4.34782609,4.34782609,4.32,Sell
VAXX,"Vaxxinity, Inc.",126056882,36951427.2915,0.75593748,2.15,112748,271035543.6444444,-4.44444444,1071,,,,,Sell
CRBU,"Caribou Biosciences, Inc.",61299700,53518316.08199999,0.8520157,4.4,364208,269718631.90697676,2.3255814,57354,500,0.23255814,-2.3255814,4.2,Sell
LLAP,Terran Orbital Corporation,145019000,90164548.117,0.6452144,1.85,1253174,268284358.00000003,0,25015,44713,-1.08108108,-2.16216216,1.81,Buy
UIS,Unisys Corporation New,68263900,65989142.0603,0.46073052,3.91,461000,266912037.966581,0.51413882,28881,,,,,Buy
ALXO,ALX Oncology Holdings Inc.,40863100,17637004.3172,0.67355151,6.52,197423,266427106.74061987,6.36215334,6397,,,,,Buy
CARM,"Carisma Therapeutics, Inc.",40254700,32326013.5239,2.20146383,6.56,390624,264070612.61285007,8.07248764,2851,6035,5.64085667,9.7199341,6.66,Buy
FUSN,Fusion Pharmaceuticals Inc.,63204600,48810700.419,0.41608212,4.16,10588,262931182.0092166,-4.14746544,110,,,,,Buy
FRGE,"Forge Global Holdings, Inc.",172642000,95653853.878,0.72175722,1.5,177712,258963525.50335568,0.67114094,10278,180,0.67114094,0.67114094,1.5,Buy
BIG,"Big Lots, Inc.",29028700,27176610.8826,0.75972453,8.83,981737,256323515.38965517,1.49425287,74156,110,-1.91034483,-1.91034483,8.5338,Sell
AKYA,"Akoya BioSciences, Inc.",38341900,17022423.2916,1.49092352,6.68,129258,256124020.621118,3.72670807,3995,,,,,Sell
KOD,Kodiak Sciences Inc,52344700,49361941.9599,0.95084704,4.89,242168,255965781.81314167,0.41067762,13799,400,2.05338809,1.23203285,4.93,Buy
BHIL,"Benson Hill, Inc.",207467000,116140234.067,1.29814728,1.23,538192,255184727,0,31627,725,1.61788618,0,1.23,Neutral
IKNA,"Ikena Oncology, Inc.",36257500,25911204.83,0.49467806,7,48511,253802444,0,788,,,,,Buy
HMPT,Home Point Capital Inc.,138431000,8882286.68400001,0.82616407,1.83,11226,253327952.24999997,-0.54347826,503,,,,,Sell
PACK,Ranpak Holdings Corp,82389699,73307876.2536,5.43527876,3.07,3809938,252936412.30169487,4.06779661,68061,1139,-3.38983051,2.03389831,3.01,Sell
AEVA,"Aeva Technologies, Inc.",219769000,108501273.91399997,0.93739368,1.15,835144,252734774.18032783,-5.73770492,31582,3965,0,0.69672131,1.2285,Neutral
LPTV,"Loop Media, Inc.",56381200,31266025.3164,0.45360221,4.48,23870,252587821.7955556,-0.44444444,812,,,,,Sell
PRTS,"CarParts.com, Inc.",56330400,51498209.2968,0.86537964,4.48,757659,252360231.93043485,-2.60869565,23008,,,,,Sell
KLTR,"Kaltura, Inc.",134826000,56412411.834,2.05053562,1.86,201314,250776536.48863637,5.68181818,7809,,,,,Buy
OVID,Ovid Therapeutics Inc.,70491500,55796841.91,2.88647584,3.55,387753,250244857.83236992,2.60115607,1991,,,,,Buy
LCTX,"Lineage Cell Therapeutics, Inc.",170174000,169492793.47800002,0.66537045,1.47,229967,250155461.33557045,-1.34228188,3383,,,,,Buy
LSEA,Landsea Homes Corporation,39975300,8156840.0391,0.63102227,6.24,34126,249445926.66446283,3.14049587,713,,,,,Buy
NRGV,"Energy Vault Holdings, Inc.",141392000,61308419.55199999,0.83036107,1.76,772318,248850350.7906977,2.3255814,34812,298,-4.06976744,-3.48837209,1.66,Neutral
IMAB,I-MAB,82272773.0434783,82052857.9211333,1.70199763,3.01,554471,248463778,-0.33112583,3245,,,,,Sell
III,"Information Services Group, Inc.",48408100,33640967.05450001,1.14594046,5.12,117115,247849492.47999996,2.4,6050,,,,,Buy
VLN,Valens Semiconductor Ltd.,98876300,52961409.1979,1.52533442,2.5,514396,247190671.4285714,2.04081633,13450,2476,1.2244898,2.04081633,2.5,Sell
SPPI,"Spectrum Pharmaceuticals, Inc.",205285000,187206987.045,1.79412124,1.2,11514267,246341405.45454544,9.09090909,26473,1109634,-2.72727273,6.36363636,1.17,Buy
EM,Smart Share Global Limited,222195032.5,212866840.645585,2.24995794,0.956601,54829,246248836,0.68424376,,3110,-0.01052521,-0.01052521,0.95,Sell
SKLZ,Skillz Inc.,422833000,262756385.8,1.19355684,0.58,4585651,245344690.84044653,-4.79317137,594757,55389,1.05055811,1.77281681,0.62,Strong Sell
TAST,"Carrols Restaurant Group, Inc.",56314900,37929774.597,0.91108672,4.35,549958,244970005.97560975,6.09756098,18464,840,1.2195122,0,4.1,Strong Buy
FFWM,First Foundation Inc.,56424300,51458115.2355,0.82461437,4.33,1357828,244317119.45977017,-0.45977011,112518,800,0,-1.14942529,4.3,Sell
BLFY,Blue Foundry Bancorp,27517200,24367526.2536,0.68091525,8.85,130787,243527055.46478876,-0.28169014,3973,,,,,Sell
ALT,"Altimmune, Inc.",49278900,48851701.2159,0.79762647,4.94,922405,243437563.17886183,0.40650407,129925,1110,0,-0.81300813,4.88,Sell
MASS,908 Devices Inc.,32046900,22836652.9869,1.14725072,7.58,233389,242915366.11204484,6.16246499,7401,,,,,Buy
DRTS,Alpha Tau Medical Ltd.,69275600,37734627.14680001,3.28192338,3.5,107376,242464622.22222227,11.11111111,215,,,,,Buy
HBIO,"Harvard Bioscience, Inc.",42190000,36411109.13000001,0.7252914,5.74,230128,242170857.91216215,-3.04054054,3171,,,,,Buy
TSP,TuSimple Holdings Inc.,225708000,137751637.608,0.9348109,1.07,1207262,241507102.55045867,-1.83486239,50343,5425,-1.69724771,0,1.09,Sell
RBOT,Vicarious Surgical Inc.,125951760,31291593.624,1.91282911,1.91,252174,240583100.3222749,-9.47867299,25965,2090,-0.93364929,-0.93364929,2.0903,Strong Sell
SLQT,"SelectQuote, Inc.",166512000,127876720.176,0.53892318,1.44,1536979,239776867.26760563,1.4084507,33985,5297,2.11267606,1.4084507,1.44,Neutral
EGAN,eGain Corporation,32131800,22098870.3726,1.15016936,7.44,51952,239060352.4239131,1.08695652,7544,,,,,Buy
TELA,"TELA Bio, Inc.",23977800,13727242.5444,0.68124117,9.96,42127,238818654.59393945,0.60606061,2627,,,,,Buy
LIAN,LianBio,107043924,99976563.005748,0.54880882,2.2,145751,238707953,-1.34529148,1096,,,,,Buy
SOL,Emeren Group Ltd,60274841,60210588.019494,0.62617527,3.89,175888,238688373,-1.76767677,14870,,,,,Strong Sell
SBT,"Sterling Bancorp, Inc.",50834600,15917482.4558,2.27506021,4.67,80010,237397601.33115473,1.74291939,1947,,,,,Sell
SPWH,"Sportsman's Warehouse Holdings, Inc.",37782900,36680054.9319,0.73397744,6.27,385516,236898522.92604497,0.80385852,25311,,,,,Sell
YRD,Yiren Digital Ltd.,89288884,,1.00388521,2.56,56044,236615551,-3.39622642,,140,-3.01886792,-3.01886792,2.57,Buy
ATRA,"Atara Biotherapeutics, Inc.",96628800,91477035.528,2.5572422,2.44,3272789,235774309.79124576,-17.84511785,151912,498,-2.35690236,-1.01010101,2.94,Strong Sell
FLL,"Full House Resorts, Inc.",34411600,32517275.83160001,3.62835373,6.85,286903,235719586.93290737,9.42492013,4628,,,,,Neutral
THRN,"Thorne Healthtech, Inc.",53487517,9978898.609105,0.49482227,4.4,15114,235624081.61797753,-1.12359551,783,,,,,Sell
ABOS,"Acumen Pharmaceuticals, Inc.",41025100,27753931.4261,1.54172422,5.73,517423,235073604.43298975,18.1443299,3343,1046,0.82474227,0.82474227,4.89,Strong Buy
DOUG,Douglas Elliman Inc.,80881022,65621927.508458,1.16806288,2.77,449529,233832377.74911663,-2.12014134,72671,,,,,Strong Sell
KNDI,"Kandi Technologies Group, Inc.",74190200,59549728.5026,0.57158803,3.15,127511,233699033.63486844,3.61842105,531,,,,,Strong Buy
CRMD,CorMedix Inc.,44499800,43751179.8646,0.60715617,5.25,211451,233623899,0,8252,100,0.38095238,0.38095238,5.27,Strong Buy
RTC,Baijiayun Group Ltd - Class,29201800,27064315.8454,25.18770509,8,198799,233614792.00000003,14.28571429,3225,400,0.14285714,0,7,Buy
NN,NextNav Inc.,107116000,26478753.852,0.63532035,2.18,147540,233513153.2676057,2.34741784,6260,,,,,Buy
PBPB,Potbelly Corporation,29150000,20626365.1,1.40064023,8.01,487642,233491884.09397587,-3.4939759,8768,2000,0.36144578,0.60240964,8.35,Sell
PCYO,Pure Cycle Corporation,24054800,23224765.0712,1.97599414,9.69,123914,233091444.7777778,5.55555556,6143,,,,,Buy
IMMR,Immersion Corporation,32358300,30275396.229,1.46737564,7.19,662808,232655869.7350428,2.42165242,10545,400,0.14245014,0,7.02,Buy
DAKT,"Daktronics, Inc.",45465700,36056527.91930001,0.55677478,5.11,113252,232329861.5265226,0.39292731,6133,,,,,Buy
YI,"111, Inc.",47517312,47004837.79008,0.54130821,2.71,13226,232178125,-2.51798561,,,,,,Sell
SEER,"Seer, Inc.",63757569,41009240.2902,0.76658268,3.64,199856,232077494.26966295,2.24719101,18084,,,,,Neutral
BWB,"Bridgewater Bancshares, Inc.",27934700,19857772.5808,0.69019298,8.29,101428,231578924.58244365,-1.66073547,10580,,,,,Sell
TLYS,"Tilly's, Inc.",29877000,22065071.035,0.66407384,7.74,164275,231247678.610608,0.12936611,8897,,,,,Buy
EEX,"Emerald Holding, Inc.",67881600,19927118.8512,1.60543512,3.4,81419,230797494.51895043,-0.87463557,2374,,,,,Sell
PMVP,"PMV Pharmaceuticals, Inc.",45774800,31024374.2228,1.09409479,5.04,281620,230704785.9559118,1.00200401,22136,,,,,Neutral
ADAP,Adaptimmune Therapeutics plc,164518315,145772275.597325,0.18791683,1.4,140938,230325637,0,1166,,,,,Buy
GTE,Gran Tierra Energy Inc.,368904000,368904000,1.43430912,6.24,547849,230196404.5167465,-0.4784689,10572,942,-0.31897927,-0.31897927,6.25,Sell
CLPT,ClearPoint Neuro Inc.,24609300,21081999.8124,0.99494477,9.35,55305,230096808.90625,-2.60416667,994,,,,,Sell
ORIC,"Oric Pharmaceuticals, Inc.",45093200,31076970.8304,0.61839356,5.09,81752,229524304.14176244,-2.49042146,3089,,,,,Sell
LBPH,"Longboard Pharmaceuticals, Inc.",24174000,15947129.412,1.67457611,9.49,252898,229411211.33333337,1.38888889,21556,,,,,Buy
GRTS,"Gritstone bio, Inc.",88913600,76552653.5008,1.11445914,2.58,439315,229396987.54918033,5.73770492,8064,100,0.40983607,0.40983607,2.45,Buy
BKCC,BlackRock Capital Investment Corporation,72571900,71591526.20289999,0.71930317,3.16,198687,229327234.28753996,0.95846645,5273,1000,1.59744409,1.59744409,3.18,Sell
ACTG,Acacia Research Corporation,58569100,56746078.1934,0.59506147,3.91,90081,229005317.302799,-0.50890585,5202,,,,,Buy
IMRX,Immuneering Corporation,29223100,19811333.0754,0.46024479,7.815,40300,228378285.78936464,7.94198895,1566,,,,,Sell
TRUE,"TrueCar, Inc.",88694000,64741120.972,0.8158193,2.57,144754,227943584.75925925,-4.81481481,18830,100,-1.48148148,-1.48148148,2.66,Sell
NKTX,"Nkarta, Inc.",48928700,35196175.3432,0.84227612,4.64,279015,227029036.8695652,0.86956522,18100,200,-4.56521739,-4.13043478,4.41,Sell
BNGO,"Bionano Genomics, Inc.",306556000,299644388.424,1.30069998,0.74,8752932,226851229.15347555,1.85822436,454890,150396,1.21128699,0.4955265,0.7301,Neutral
SIFY,"Sify Technologies Limited - American Depository Shares, each represented by one",182742369,,1.05241168,1.23,62721,226600539,-0.80645161,,,,,,Strong Sell
GRWG,GrowGeneration Corp.,60993600,58123302.1776,0.98524448,3.7,1037178,225676344.73262027,-1.06951872,72269,10546,0,-2.67379679,3.64,Buy
EVER,"EverQuote, Inc.",33136774.00000001,20403819.657,2.36061736,6.81,1538492,225661757.51278195,2.40601504,71880,22224,16.9924812,25.86466165,8.37,Sell
CARA,"Cara Therapeutics, Inc.",53943400,42287202.2412,0.90377919,4.18,380405,225483221.5560747,-2.3364486,29331,,,,,Strong Sell
SMHI,SEACOR Marine Holdings Inc.,27096800,22419241.9968,1.15446491,8.31,41621,225174516.98360655,-2.69320843,1672,,,,,Neutral
FHTX,Foghorn Therapeutics Inc.,41824800,17553575.7864,0.9238379,5.37,89874,224598935.6850829,-1.10497238,1563,,,,,Sell
ZVIA,Zevia PBC,44865800,33720641.7562,1.40258965,3.36,67680,223992416.68085104,2.12765957,1071,,,,,Sell
DZSI,DZS Inc.,31048800,21688052.532,2.09897345,7.2,243788,223551159.39759037,8.43373494,13095,669,0.90361446,0.90361446,6.7,Buy
EYPT,"EyePoint Pharmaceuticals, Inc.",34301900,25760006.5601,0.21930013,6.5,233054,222962509.73724887,0.46367852,9861,2425,0.46367852,3.55486862,6.7,Buy
LUNA,Luna Innovations Incorporated,33420800,31745248.192,1.64326377,6.66,217448,222582340.82352945,8.82352941,5704,,,,,Buy
NDLS,Noodles & Company,46040400,36297100.35,0.54664528,4.83,139411,222375254.90851736,1.57728707,6083,,,,,Neutral
PFMT,Performant Financial Corporation,75505100,64227356.2436,1.12931318,2.93,139859,221229977.18333337,-2.33333333,3236,,,,,Sell
OPFI,OppFi Inc.,109787987,14097343.9867,0.19997637,2.01,8969,220673816.6305419,-0.98522167,988,,,,,Buy
LRMR,"Larimar Therapeutics, Inc.",43269200,41937893.2544,2.19195552,5.09,200583,220240232.22406635,5.60165975,4322,2250,4.97925311,5.80912863,5.1,Strong Buy
PBFS,"Pioneer Bancorp, Inc.",25977700,11506354.6164,0.2534896,8.45,4847,219511389.32636473,-1.8583043,570,,,,,Sell
EPM,"Evolution Petroleum Corporation, Inc.",33717300,30541029.18810001,1.03525637,6.5,163770,219162454.0247678,0.61919505,9657,,,,,Neutral
MULN,"Mullen Automotive, Inc.",151687000,137757582.79,0.58543145,1.44,15430388,218429145.72972977,-2.7027027,401620,1149718,0,-3.43918919,1.4291,Sell
TOUR,Tuniu Corporation,118002037.333333,116889986.13350397,1.48510119,1.69,444016,217876038,-3.97727273,2739,1895,-3.40909091,-2.84090909,1.71,Sell
INO,"Inovio Pharmaceuticals, Inc.",260132000,255989918.16399997,0.71336107,0.8375,2886285,217860545.36569223,0.7458198,506014,5709,-1.34728738,2.24948875,0.85,Buy
ATOM,Atomera Incorporated,24412100,23171989.7321,0.25295787,8.9,487744,217267479.92623815,-6.2170706,8731,100,-3.16122234,-3.16122234,9.19,Buy
ATNM,"Actinium Pharmaceuticals, Inc. (Delaware)",25729400,24177994.3682,1.45411016,8.44,413130,217155857.91907513,-2.42774566,4731,,,,,Sell
KMDA,Kamada Ltd.,44832800,38415746.8376,0.68589748,4.82,18014,216094317.04966888,-2.4291498,,,,,,Buy
RANI,"Rani Therapeutics Holdings, Inc.",25295200,16642648.0024,0.85177826,4.37,32495,215926772.46728972,2.10280374,750,227,1.63551402,1.63551402,4.35,Sell
SGMO,"Sangamo Therapeutics, Inc.",168483000,143408686.008,0.68469703,1.28,1514764,215658630.04724407,0.78740157,175349,490,-0.77165354,-0.78740157,1.26,Sell
NOTE,"FiscalNote Holdings, Inc.",133760921,101423674.5,1.23662248,1.61,798985,215354834.6566265,-3.01204819,8220,1400,5.42168675,1.80722892,1.69,Sell
LE,"Lands' End, Inc.",32460100,12647558.6034,2.11908544,6.62,254542,214885627.6389281,-6.62905501,10692,,,,,Sell
WGS,GeneDx Holdings Corp.,25587600,16343721.2736,0.9407635,8.35,124838,213656507.17514125,-5.64971751,5532,,,,,Sell
KFS,"Kingsway Financial Services, Inc.",25045000,16792722.59,0.54576045,8.53,49468,213634038.58843535,-3.28798186,1623,,,,,Sell
CNTY,"Century Casinos, Inc.",29870500,26117002.8405,1.02001545,7.12,58626,212678286.91830987,0.28169014,5885,,,,,Buy
RLYB,Rallybio Corporation,38075000,16207537.55,0.76376149,5.58,20399,212458632.06,-7,1410,,,,,Neutral
MHLD,"Maiden Holdings, Ltd.",101532000,75318366.708,0.83959601,2.09,83879,212202195.3660714,-6.69642857,4879,,,,,Strong Sell
PDSB,PDS Biotechnology Corporation,30823600,29214114.9024,1.07755509,6.87,225552,211758195.1958457,1.92878338,5896,300,0.89020772,0.14836795,6.75,Buy
BAER,"Bridger Aerospace Group Holdings, Inc.",43769300,1192100.6548,1.14938848,4.83,18307,211405674.44654092,1.25786164,700,,,,,Neutral
STKS,"The ONE Group Hospitality, Inc.",31881100,24778437.2554,1.1103768,6.63,137268,211371557.475,-2.5,4905,,,,,Strong Sell
UCAR,U Power Limited,52500000,7432582.5,0.14846991,4.01,850588,210525000,3.88601036,11583,32442,2.84974093,0.25906736,3.87,Buy
GDHG,Golden Heaven Group Holdings Ltd.,50000000,19679700,2.02419791,4.21,135633,210500000,6.85821615,352,16039,2.7970963,1.52799634,4,Strong Buy
RPHM,"Reneo Pharmaceuticals, Inc.",25107400,9453714.4294,0.29289736,8.36,59646,209898103.36752135,-10.68376068,2677,,,,,Sell
SVRA,"Savara, Inc.",114065000,67922171.48500001,3.53031098,1.84,244103,209879117.46938777,-6.12244898,3092,,,,,Sell
CUE,"Cue Biopharma, Inc.",43178200,41062381.8436,0.90382202,4.85,342081,209414022.06720972,-1.22199593,3625,1000,1.22199593,1.83299389,5,Buy
IREN,Iris Energy Limited,53028869,38180519.095665,0.81954492,3.8,708987,208935079.08536583,15.85365854,4750,1541,1.2195122,1.82926829,3.34,Buy
AGS,"PlayAGS, Inc.",37795300,36786467.85240001,1.04740305,5.52,505735,208630090.94972065,2.79329609,115123,,,,,Neutral
TMC,TMC the metals company Inc.,277879000,108808246.393,0.51122736,0.75,263360,208409244.11764705,-1.96078431,11887,6884,0.65359477,0.66666667,0.7701,Sell
EP,Empire Petroleum Corporation,22449000,9984596.832,0.330235,9.28,8676,208326546.82766193,1.86608123,596,,,,,Sell
UTI,Universal Technical Institute Inc,33974500,32555758.8545,0.59259988,6.13,51227,208263532.75163397,0.16339869,7762,,,,,Sell
VATE,INNOVATE Corp.,78787800,48014703.50040001,0.8392039,2.64,195581,207999702.70588237,-2.94117647,12655,,,,,Sell
ZOM,Zomedica Corp.,979950000,966007271.4,0.81350068,0.212,2566077,207749340.59903383,2.41545894,46985,108795,0,1.40096618,0.2099,Buy
AADI,"Aadi Bioscience, Inc.",24437000,16223822.048,0.47360456,8.49,63814,207470060.17759237,1.19189511,3209,,,,,Buy
CELC,Celcuity Inc.,21689400,10399828.7166,0.57440062,9.53,33115,206700241.81682637,1.49094782,916,,,,,Sell
INOD,Innodata Inc.,27550000,24931620.45,1.09660252,7.5,285922,206624891.17291415,-9.31076179,1650,4371,-1.45102781,0,8.27,Buy
FENC,Fennec Pharmaceuticals Inc.,26418400,21852402.2544,0.88662483,7.82,62466,206592165.00474837,-1.63522013,314,,,,,Strong Sell
CDXS,"Codexis, Inc.",66767700.00000001,64359789.66720001,1.38481423,3.09,902461,206312245.55718476,-9.38416422,39604,32256,-3.19648094,-7.62463343,3.15,Strong Sell
EOSE,"Eos Energy Enterprises, Inc.",114481000,107610537.26599997,0.53219022,1.8,2768816,206066541.56250003,-6.25,285989,2696,2.60416667,1.53645833,1.9495,Sell
OCFT,"OneConnect Financial Technology Co., Ltd.",38999355.1,38568685.221631,0.65261801,4.81,32202,205632044.0256,-2.63157895,344,,,,,Sell
OPAD,Offerpad Solutions Inc.,399403236,121116060.975,1.79973664,0.5145,950832,205493106.9409117,0.66523185,19705,1829,-2.17178634,1.17393856,0.5171,Buy
LSAK,"Lesaka Technologies, Inc.",60566300,40191069.88440001,0.22977768,3.39,17070,205319614.93352604,-2.02312139,104,,,,,Strong Sell
FEAM,"5E Advanced Materials, Inc.",44149172,30329863.075592,0.42082802,4.65,166865,205293662.49460045,0.43196544,13071,,,,,Neutral
BZUN,Baozun Inc.,44170458,44119352.780094,1.14898174,4.42,504926,204882887.54304,-4.53563715,21589,2258,-3.0237581,-4.96760259,4.4,Sell
